accession	name
NR_042787.1	Methanocorpusculum bavaricum
NR_042786.1	Methanoculleus bourgensis
NR_042784.1	Methanobrevibacter ruminantium
NR_042782.1	Methanothermobacter thermautotrophicus
NR_042781.1	Methanobacterium bryantii
NR_042767.1	Methanofollis formosanus
NR_042740.1	Thermococcus hydrothermalis
NR_042738.1	Thermococcus fumicolans
NR_042532.1	Haloterrigena hispanica
NR_042510.1	Halorubrum orientale
NR_042419.1	Halorubrum chaoviator
NR_042407.1	Halovivax asiaticus
NR_042075.1	Thermococcus atlanticus
NR_041986.1	Methanosarcina baltica
NR_041896.1	Thermococcus gammatolerans
NR_041828.1	Methanocalculus chunghsingensis
NR_041801.1	Methanofollis aquaemaris
NR_041774.1	Acidilobus aceticus
NR_041669.1	Methanofollis ethanolicus
NR_041665.1	Methanolobus profundi
NR_041310.1	Halococcus thailandensis
NR_040969.1	Thermococcus celericrescens
NR_040968.1	Thermococcus coalescens
NR_040922.1	Pyrobaculum calidifontis
NR_040881.1	Halosimplex carlsbadense
NR_040876.1	Vulcanisaeta distributa
NR_040779.1	Thermocladium modestius
NR_028603.1	Sulfolobus yangmingensis
NR_043970.1	Haloarcula amylolytica
NR_043961.1	Methanoculleus receptaculi
NR_043960.1	Methermicoccus shengliensis
NR_043203.1	Methanosaeta harundinacea
NR_042895.1	Methanobacterium aarhusense
NR_041876.1	Methanosarcina lacustris
NR_041788.1	Geoglobus ahangari
NR_028242.1	Methanothrix soehngenii
NR_028222.1	Metallosphaera hakonensis
NR_028221.1	Acidianus ambivalens
NR_028217.1	Natronococcus amylolyticus
NR_025555.1	Halobacterium salinarum
NR_044723.2	Methanoculleus marisnigri
NR_044727.2	Methanoplanus limicola
NR_044726.2	Methanomicrobium mobile
NR_044720.2	Methanothermococcus thermolithotrophicus
NR_159326.1	Natronolimnobius aegyptiacus
NR_158067.1	Saliphagus infecundisoli
NR_151878.1	Pyrococcus kukulkanii
NR_148337.1	Methanosarcina spelaei
NR_144620.1	Cuniculiplasma divulgatum
NR_134742.1	Haladaptatus pallidirubidus
NR_134097.1	Nitrososphaera viennensis
NR_117208.2	Natronococcus roseus
NR_102988.2	Aeropyrum pernix
NG_041950.1	Caldivirga maquilingensis
NR_102989.2	Pyrobaculum arsenaticum
NR_121692.2	Aeropyrum camini
NG_041949.1	Caldivirga maquilingensis
NR_102766.2	Pyrobaculum oguniense
NR_112034.2	Pyrobaculum neutrophilum
NR_040790.3	Caldivirga maquilingensis
NR_125479.1	Halolamina salina
NR_125477.1	Halorubrum rubrum
NR_125476.1	Halobellus litoreus
NR_121795.1	Thermococcus nautili
NR_121728.1	Halostagnicola larsenii
NR_121707.1	Thermococcus litoralis
NR_121590.1	Haloarcula marismortui
NR_119236.1	Thermococcus chitonophagus
NR_119235.1	Ferroglobus placidus
NR_119233.1	Hyperthermus butylicus
NR_119202.1	Acidianus ambivalens
NR_119201.1	Metallosphaera sedula
NR_119200.1	Stygiolobus azoricus
NR_119199.1	Sulfolobus metallicus
